Month,ATC2_desc,Scripts
2000-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14123
2000-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12521
2000-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13320
2000-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11553
2000-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11170
2001-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12232
2001-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15995
2001-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,21085
2001-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18238
2001-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17364
2001-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14742
2001-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14620
2001-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14041
2001-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12079
2001-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12640
2001-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12449
2001-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10101
2002-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12442
2002-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16833
2002-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17972
2002-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17853
2002-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,18034
2002-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14631
2002-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15159
2002-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12895
2002-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12601
2002-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11703
2002-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9899
2002-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9719
2003-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11000
2003-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16081
2003-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17741
2003-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16748
2003-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16818
2003-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14682
2003-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13882
2003-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12080
2003-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12060
2003-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11511
2003-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9633
2003-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9656
2004-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9062
2004-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14140
2004-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14149
2004-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13637
2004-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14557
2004-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14224
2004-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13401
2004-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11403
2004-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11411
2004-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10419
2004-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10160
2004-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9479
2005-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9678
2005-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15944
2005-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17000
2005-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16830
2005-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15411
2005-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14411
2005-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12150
2005-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12074
2005-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11289
2005-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9537
2005-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9528
2005-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,7589
2006-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9491
2006-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14434
2006-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17468
2006-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15201
2006-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16102
2006-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13188
2006-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12221
2006-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12395
2006-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10419
2006-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10809
2006-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9334
2006-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,8299
2007-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10224
2007-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14817
2007-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,17370
2007-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13514
2007-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15116
2007-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,13647
2007-07-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12856
2007-08-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,12384
2007-09-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,10696
2007-10-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,9489
2007-11-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,8768
2007-12-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,6717
2008-01-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,7419
2008-02-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,15113
2008-03-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14138
2008-04-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,16694
2008-05-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,14183
2008-06-01T00:00:00Z,STOMATOLOGICAL PREPARATIONS,11510
1991-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,199828
1991-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,166745
1991-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,156502
1991-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,155413
1991-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,136410
1991-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,142235
1992-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,135310
1992-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,178493
1992-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,213516
1992-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,232259
1992-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,222528
1992-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,226190
1992-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,241973
1992-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,214203
1992-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,207183
1992-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,189720
1992-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,179082
1992-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,190076
1993-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,151008
1993-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,214802
1993-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,280360
1993-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,281878
1993-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,294292
1993-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,293864
1993-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,295290
1993-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,287759
1993-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,259316
1993-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,232505
1993-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,219922
1993-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,247757
1994-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,175257
1994-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,263814
1994-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,353901
1994-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,328468
1994-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,360948
1994-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,353081
1994-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,337795
1994-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,347062
1994-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,302383
1994-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,277187
1994-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,260464
1994-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,250338
1995-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,234300
1995-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,323453
1995-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,403673
1995-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,391120
1995-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,414841
1995-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,398356
1995-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,377314
1995-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,376955
1995-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,317533
1995-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,314994
1995-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,273744
1995-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,270957
1996-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,264608
1996-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,366744
1996-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,407367
1996-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,428467
1996-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,456021
1996-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,406744
1996-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,425414
1996-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,372447
1996-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,344662
1996-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,324590
1996-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,284763
1996-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,300719
1997-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,261459
1997-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,364132
1997-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,415746
1997-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,454636
1997-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,462145
1997-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,454356
1997-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,445801
1997-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,379119
1997-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,359286
1997-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,337234
1997-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,284676
1997-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,321545
1998-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,238587
1998-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,410277
1998-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,443112
1998-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,450675
1998-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,471868
1998-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,461742
1998-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,454069
1998-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,388060
1998-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,386282
1998-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,333927
1998-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,305947
1998-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,316873
1999-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,256406
1999-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,394231
1999-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,531337
1999-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,477278
1999-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,506203
1999-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,495832
1999-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,484804
1999-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,447696
1999-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,402134
1999-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,353173
1999-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,331287
1999-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,325168
2000-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,279497
2000-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,449587
2000-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,525054
2000-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,513599
2000-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,540738
2000-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,521479
2000-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,533607
2000-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,467426
2000-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,378848
2000-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,391519
2000-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,336315
2000-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,302754
2001-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,329442
2001-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,454673
2001-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,598869
2001-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,549547
2001-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,588658
2001-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,512795
2001-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,533056
2001-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,481740
2001-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,396423
2001-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,412211
2001-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,387027
2001-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,315561
2002-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,394456
2002-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,553685
2002-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,613387
2002-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,654149
2002-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,705533
2002-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,584622
2002-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,616765
2002-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,507043
2002-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,465121
2002-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,424412
2002-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,362080
2002-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,344107
2003-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,385773
2003-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,596646
2003-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,672493
2003-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,652231
2003-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,732254
2003-06-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,658318
2003-07-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,626979
2003-08-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,526845
2003-09-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,488798
2003-10-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,467693
2003-11-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,375642
2003-12-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,371369
2004-01-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,361554
2004-02-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,681353
2004-03-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,762697
2004-04-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,737492
2004-05-01T00:00:00Z,DRUGS FOR ACID RELATED DISORDERS,751624
